x,y,file,label,class
4.475727129,9.722620693,,Nv,1
-6.321186089,1.734599324,,Nv,1
-0.148694817,-2.456251349,,Nv,1
1.314019231,6.642194125,,Nv,1
-3.524912686,-8.850226649,,Nv,1
-4.155886908,-16.2332966,,Nv,1
-17.5403692,6.979242513,,Nv,1
-13.51177232,0.681095263,,Nv,1
-7.093172486,-1.209905091,,Nv,1
5.725869629,-2.393118213,,Nv,1
2.636869178,0.612021606,,Nv,1
1.309743118,1.282056794,,Nv,1
2.824964102,-3.942662191,,Nv,1
6.93826484,-5.266854199,,Nv,1
-12.25336961,-0.007904466,,Nv,1
-8.718040341,0.906945568,,Nv,1
5.778941694,-6.287538103,,Nv,1
3.596045022,0.695316863,,Nv,1
-10.81196136,-6.662738655,,Nv,1
-7.466962792,-2.278471671,,Nv,1
5.660973179,-7.469257414,,Nv,1
-10.80923939,-6.747969124,,Nv,1
10.88549429,-10.01088749,,Nv,1
3.535028194,0.740567132,,Nv,1
-8.85315239,0.966846495,,Nv,1
7.120029735,-5.442856421,,Nv,1
6.050666144,-2.985756272,,Nv,1
-9.548854056,-5.913690325,,Nv,1
-12.90310552,-6.184569157,,Nv,1
7.365715915,-4.367158612,,Nv,1
-14.20626074,6.460373488,,Nv,1
-11.32465491,-3.07004856,,Nv,1
-7.245765715,6.658904159,,Nv,1
2.918715756,3.184148031,,Nv,1
6.788589815,10.51647896,,Nv,1
-8.169730683,1.042119537,,Nv,1
-13.9220809,6.679400365,,Nv,1
-4.241411227,-15.74350538,,Nv,1
19.81866683,1.790510218,,Nv,1
-8.290557799,-0.067692852,,Nv,1
-7.593966451,5.07294833,,Nv,1
-10.57042584,-1.410747476,,Nv,1
-7.260365385,4.799782927,,Nv,1
-18.13412851,4.439100583,,Nv,1
-15.2813171,6.637361723,,Nv,1
-11.8638621,-3.508784285,,Nv,1
-9.729143726,-3.900782577,,Nv,1
-6.282714578,-0.978540202,,Nv,1
-10.01242392,-0.677345792,,Nv,1
-3.39632587,-0.512207983,,Nv,1
-9.575693906,0.460475976,,Nv,1
-4.752332516,-0.127363132,,Nv,1
-5.878201734,-0.958520533,,Nv,1
-8.728939285,3.405060421,,Nv,1
2.000055754,-0.669215197,,Nv,1
2.743643115,0.269975281,,Nv,1
-16.81421592,10.90405612,,Nv,1
-6.778427201,-12.98604357,,Nv,1
7.363030725,-3.200602382,,Nv,1
3.798651687,-2.526148597,,Nv,1
-13.17790154,-5.359504716,,Nv,1
22.67754836,3.645039055,,Nv,1
13.75797726,1.679851874,,Nv,1
-11.40852813,-0.752512036,,Nv,1
17.38386995,4.509139461,,Nv,1
4.368261817,1.061383582,,Nv,1
-8.855883261,12.80938617,,Nv,1
